MSE,RMSE,MAE,R2
0.004999999888241291,0.07000000029802322,0.05000000074505806,0.836
0.004000000189989805,0.05999999865889549,0.0430000014603138,0.888
0.006000000052154064,0.07400000095367432,0.054999999701976776,0.86
0.007000000216066837,0.08299999684095383,0.06199999898672104,0.775
0.008999999612569809,0.09200000017881393,0.0689999982714653,0.718
0.008999999612569809,0.09300000220537186,0.07100000232458115,0.761
