LocationID,Count,ProgID,SurveyDescription,Easting,Northing,Location,Borough,Functional cycling area,latitude,longitude,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count,geometry,population_density
CENCY112,689,CENCY,Central area cycle surveys,528714,180840,Grosvenor Street,Westminster,Central,51.51183376,-0.146565818,0,5,80,0,0,4,6,29,0,0,310,122,57,23,84,400,32,190,0,5,20,0,97,0,0,21,7,0,3,7,1,296,6,19,5,0,2,0,0,0,2,0,10,2,0,1,0,0,0,0,POINT (528714 180840),103.68933333333332
CENCY113,1406,CENCY,Central area cycle surveys,527511,181729,Seymour Place,Westminster,Central,51.52009556,-0.163570666,4,0,6,4,0,0,4,63,0,0,144,76,5,14,53,304,12,155,0,2,46,0,87,0,0,36,8,1,1,9,4,88,7,7,2,0,0,2,0,0,3,0,9,0,0,0,0,0,0,0,POINT (527511 181729),211.93757575757573
CENCY114,4166,CENCY,Central area cycle surveys,530407,182530,Regent Square,Camden,Central,51.52663327,-0.121558134,0,1,22,0,1,1,3,6,0,0,122,135,16,38,62,565,22,207,0,7,12,0,107,2,0,36,3,0,1,3,2,31,1,2,0,1,1,1,0,0,0,0,8,0,0,0,0,0,0,0,POINT (530407 182530),254.0838709677418
CENCY115,340,CENCY,Central area cycle surveys,528577,181546,Wimpole Street,Westminster,Central,51.51820956,-0.148281657,4,0,65,2,0,4,5,39,0,0,230,121,37,16,80,442,28,174,0,5,22,0,89,0,0,18,5,0,3,9,1,220,8,22,3,0,1,2,0,0,1,0,14,1,0,0,0,0,0,0,POINT (528577 181546),153.3087301587301
CENCY116,1304,CENCY,Central area cycle surveys,527910,181397,George Street (east),Westminster,Central,51.51702182,-0.157943437,4,0,26,3,0,0,6,61,0,0,156,80,8,14,47,317,19,161,0,3,38,0,83,0,0,26,7,0,4,9,2,149,6,16,2,0,0,1,0,0,2,0,11,3,0,0,0,0,0,0,POINT (527910 181397),188.6728571428572
CENCY117,2063,CENCY,Central area cycle surveys,530136,181785,Montague Street,Camden,Central,51.5200007,-0.125737307,0,1,74,2,0,3,4,3,0,0,252,170,50,48,96,690,22,198,0,8,14,0,100,1,0,33,5,0,1,6,0,66,1,7,6,0,3,3,0,0,0,0,14,0,0,0,0,0,0,0,POINT (530136 181785),237.82978723404256
CENCY118,1016,CENCY,Central area cycle surveys,530451,181155,Drury Lane,Westminster,Central,51.51426655,-0.121432784,0,0,82,2,0,3,6,1,0,0,338,177,70,47,113,529,30,225,0,8,12,2,112,4,0,33,7,2,1,10,0,76,2,2,6,0,4,1,0,0,3,0,11,0,0,0,0,0,0,0,POINT (530451 181155),144.83000000000007
CENCY119,2882,CENCY,Central area cycle surveys,529543,181973,Torrington Place,Camden,Central,51.52182637,-0.134210305,0,1,75,2,0,5,1,6,0,0,188,132,46,33,72,641,28,194,0,6,17,0,97,1,0,32,5,0,1,4,0,43,3,8,3,1,3,4,0,0,0,0,9,0,0,0,0,0,0,0,POINT (529543 181973),257.58920863309356
CENCY120,1483,CENCY,Central area cycle surveys,529979,182682,Mabledon Place,Camden,Central,51.52809781,-0.127668227,0,1,16,0,1,2,1,5,0,0,99,127,20,41,46,531,25,176,0,8,13,0,92,2,0,39,4,0,1,3,1,48,0,3,0,1,1,1,0,0,0,0,7,0,0,0,0,0,0,0,POINT (529979 182682),268.0586419753083
CENCY121,3682,CENCY,Central area cycle surveys,531131,183022,Claremont Square,Islington,Central,51.53088714,-0.110944653,0,1,11,1,0,1,5,8,0,0,110,78,21,33,44,404,11,202,0,4,8,0,118,1,0,34,3,0,0,1,2,16,1,5,1,0,1,3,0,0,0,0,9,0,0,0,0,0,0,0,POINT (531131 183022),205.5138121546961
CENCY122,1974,CENCY,Central area cycle surveys,533129,181136,Leadenhall Street,City of London,Central,51.51347169,-0.082869671,3,1,62,3,5,5,16,8,1,0,228,151,78,67,144,372,50,244,0,9,8,2,127,0,0,29,3,0,6,6,0,40,1,0,1,0,13,3,0,0,2,0,28,0,0,0,0,0,0,0,POINT (533129 181136),147.9576923076923
CENCY123,1874,CENCY,Central area cycle surveys,532146,181058,Cannon Street,City of London,Central,51.51300131,-0.097056468,0,2,76,4,3,4,16,0,1,0,149,99,60,41,75,358,53,228,0,8,10,2,117,0,0,19,3,0,2,7,0,25,1,2,0,0,6,2,0,0,0,0,14,0,0,0,0,0,0,0,POINT (532146 181058),134.1943396226415
CENCY124,1147,CENCY,Central area cycle surveys,532115,182661,Central Street,Islington,Central,51.52741386,-0.096902504,1,2,35,2,0,2,6,7,1,0,83,59,15,22,49,560,10,172,0,1,6,0,105,0,0,29,10,0,0,3,1,9,1,7,2,0,1,6,0,1,0,0,9,0,0,0,0,0,0,0,POINT (532115 182661),222.9630434782608
CENCY125,1713,CENCY,Central area cycle surveys,531754,181769,Charterhouse Street,Islington,Central,51.51948217,-0.102436654,0,1,82,4,1,4,18,4,1,0,114,95,35,28,60,540,26,228,0,7,10,1,127,0,0,20,5,0,0,2,1,11,3,7,1,0,1,4,0,1,0,0,8,0,0,0,0,0,0,0,POINT (531754 181769),204.56635514018694
CENCY126,4464,CENCY,Central area cycle surveys,532663,181212,Prince's Street,City of London,Central,51.51426417,-0.089552603,2,1,71,3,5,5,16,2,1,0,202,120,73,57,133,386,52,239,0,8,11,3,126,0,0,20,3,0,4,6,0,32,1,0,1,0,11,2,0,0,1,0,26,0,0,0,0,0,0,0,POINT (532663 181212),159.7818181818182
CENCY127,2592,CENCY,Central area cycle surveys,532989,182132,Paul Street,Islington,Central,51.52245509,-0.084510507,2,1,65,2,3,6,10,2,2,0,163,119,60,37,87,586,14,235,0,8,9,0,128,0,0,29,11,0,2,2,0,26,1,4,3,0,12,3,0,1,2,0,19,0,0,0,0,0,0,0,POINT (532989 182132),214.62517985611512
CENCY128,2412,CENCY,Central area cycle surveys,531516,181175,Fleet Street,City of London,Central,51.51419959,-0.106086347,0,1,75,4,1,4,14,3,1,0,107,99,39,32,62,441,28,216,0,7,12,2,109,0,0,16,2,1,0,4,0,11,2,6,1,0,0,1,0,0,1,0,12,0,0,0,0,0,0,0,POINT (531516 181175),157.68888888888895
CENCY129,1324,CENCY,Central area cycle surveys,532271,182136,Golden Lane,Islington,Central,51.52265949,-0.094851974,1,3,62,3,2,3,13,3,2,0,104,72,37,22,47,593,19,205,0,6,8,0,120,0,0,22,11,0,1,2,0,10,1,6,2,0,6,6,0,1,1,0,16,0,0,0,0,0,0,0,POINT (532271 182136),223.7407407407407
CENCY130,1301,CENCY,Central area cycle surveys,532358,181348,Gresham Street,City of London,Central,51.5155578,-0.093894397,0,2,79,4,4,2,19,0,1,0,149,109,66,46,105,409,58,243,0,9,9,2,129,0,0,18,3,0,4,3,0,31,2,2,0,0,8,2,0,1,1,0,19,0,0,0,0,0,0,0,POINT (532358 181348),159.9316666666667
CENCY131,2246,CENCY,Central area cycle surveys,528730,181699,New Cavendish Street,Westminster,Central,51.51954972,-0.146021956,3,0,72,2,0,5,5,30,0,0,218,121,36,17,85,476,28,165,0,4,18,0,84,0,0,18,8,0,3,8,1,217,6,24,4,0,1,3,0,0,0,0,14,1,0,0,0,0,0,0,POINT (528730 181699),169.41599999999997
CENCY132,417,CENCY,Central area cycle surveys,528411,180402,South Audley Street,Westminster,Central,51.50796644,-0.151089101,1,5,36,0,0,1,4,14,0,0,161,67,29,13,37,226,26,159,0,4,10,0,79,0,0,10,5,0,3,4,0,189,2,6,2,0,1,0,0,0,1,0,3,3,0,0,0,0,0,0,POINT (528411 180402),64.73653846153844
CENCY133,1257,CENCY,Central area cycle surveys,532976,181302,Old Broad Street,City of London,Central,51.51499943,-0.085010667,3,1,62,3,5,5,18,4,1,0,198,147,77,60,132,404,48,253,0,8,10,2,133,0,0,25,4,0,4,5,0,37,1,1,1,0,14,4,0,0,2,0,29,0,0,0,0,0,0,0,POINT (532976 181302),165.3543859649123
CENCY134,806,CENCY,Central area cycle surveys,529563,181078,Wardour Street,Westminster,Central,51.51377872,-0.134250912,0,6,105,2,0,5,5,5,0,0,442,187,95,41,129,616,43,218,0,10,22,0,112,0,0,29,10,1,4,12,0,273,7,16,6,0,6,2,0,0,2,0,15,0,0,1,0,0,0,0,POINT (529563 181078),137.23902439024394
CENCY135,457,CENCY,Central area cycle surveys,529017,180357,Berkeley Street,Westminster,Central,51.50742413,-0.142378482,2,6,66,0,0,2,4,12,0,0,295,107,51,25,71,318,32,178,0,6,14,0,90,0,0,18,7,0,3,8,0,226,3,2,3,0,2,0,0,0,2,0,4,1,0,1,0,0,0,0,POINT (529017 180357),58.16296296296296
CENCY136,3116,CENCY,Central area cycle surveys,531581,181571,Snow Hill (West Smithfield),City of London,Central,51.51774313,-0.105002475,0,1,79,4,1,3,16,4,1,0,104,93,35,33,62,523,25,227,0,6,9,1,121,0,0,18,4,0,0,3,1,13,3,7,1,0,1,4,0,1,1,0,11,0,0,0,0,0,0,0,POINT (531581 181571),203.6580645161292
CENCY137,2086,CENCY,Central area cycle surveys,531836,178783,Churchyard Row,Southwark,Central,51.49262932,-0.102370686,1,0,3,0,0,0,2,15,0,0,53,35,3,26,43,332,6,168,0,1,9,0,96,0,0,35,6,0,1,4,2,8,4,2,1,4,1,6,0,0,5,0,7,0,0,0,0,1,0,0,POINT (531836 178783),213.33072916666674
CENCY138,1262,CENCY,Central area cycle surveys,530834,178564,Black Prince Road (east of Gibson Street),Lambeth,Central,51.49089379,-0.116876602,0,0,4,0,0,0,2,19,0,0,42,37,11,16,23,277,5,199,0,1,12,2,102,1,0,26,3,0,0,3,0,1,2,1,0,1,3,6,0,0,7,0,7,1,0,0,0,1,0,0,POINT (530834 178564),201.88181818181812
CENCY139,4135,CENCY,Central area cycle surveys,529385,179899,The Mall,Westminster,Central,51.50322417,-0.137246818,5,6,30,0,0,2,3,4,0,0,234,93,39,27,67,292,34,224,0,6,13,1,117,0,0,23,5,0,1,7,0,106,3,0,1,0,4,0,0,0,2,0,5,0,0,1,0,0,0,0,POINT (529385 179899),279.384126984127
CENCY140,1005,CENCY,Central area cycle surveys,530758,179947,Belvedere Road,Lambeth,Central,51.50333984,-0.117458637,3,0,11,1,0,2,1,7,0,0,111,83,29,28,43,298,33,246,0,2,11,4,126,4,0,26,8,1,0,4,2,16,2,0,2,1,5,4,0,0,5,0,7,0,0,0,0,0,0,0,POINT (530758 179947),154.65942028985512
CENCY141,707,CENCY,Central area cycle surveys,529466,179479,Petty France,Westminster,Central,51.49943122,-0.136234451,6,1,19,0,0,2,2,7,0,0,87,75,14,18,53,238,21,199,1,3,11,1,107,0,0,21,2,0,1,4,0,29,1,0,1,0,4,0,0,0,1,0,4,0,0,0,0,0,0,0,POINT (529466 179479),317.86599999999993
CENCY142,1873,CENCY,Central area cycle surveys,529650,179658,Birdcage Walk,Westminster,Central,51.5009977,-0.133519437,5,6,21,0,0,2,3,5,0,0,117,84,23,21,54,227,30,211,0,4,11,2,110,0,0,20,4,1,1,5,0,60,1,0,1,0,4,0,0,0,1,0,5,0,0,1,0,0,0,0,POINT (529650 179658),337.26133333333337
CENCY143,2959,CENCY,Central area cycle surveys,528783,179794,Constitution Hill,Westminster,Central,51.50241792,-0.145953682,3,5,33,0,0,2,4,10,0,0,127,72,21,16,50,198,23,153,0,5,16,0,83,0,0,16,2,0,2,5,0,103,1,1,2,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,POINT (528783 179794),234.6014705882353
CENCY144,296,CENCY,Central area cycle surveys,530098,180856,Garrick Street,Westminster,Central,51.51166086,-0.126627261,0,6,95,1,0,3,3,2,0,0,392,167,81,38,111,521,34,222,0,7,15,2,113,4,0,29,7,2,1,12,0,142,4,2,5,0,6,1,0,0,4,0,13,0,0,1,0,0,0,0,POINT (530098 180856),106.2190476190476
CENCY145,841,CENCY,Central area cycle surveys,528505,181468,Welbeck Street,Westminster,Central,51.51752497,-0.149347186,4,0,57,3,0,2,5,43,0,0,227,114,33,16,80,393,27,172,0,3,23,0,87,0,0,17,7,0,3,10,1,222,9,22,2,0,1,0,0,0,1,0,13,1,0,0,0,0,0,0,POINT (528505 181468),156.32479999999995
CENCY146,783,CENCY,Central area cycle surveys,527511,181613,Crawford Street (west),Westminster,Central,51.51905309,-0.1636126,4,0,7,4,0,0,5,67,0,0,150,85,6,15,58,319,15,170,0,2,42,0,93,0,0,38,7,1,1,11,4,90,8,7,2,0,0,2,0,0,3,0,9,1,0,0,1,0,0,0,POINT (527511 181613),212.6438271604938
CENCY147,760,CENCY,Central area cycle surveys,528724,180978,Brook Street,Westminster,Central,51.51307165,-0.146371454,0,5,83,0,0,4,6,33,0,0,326,130,62,22,86,449,32,176,0,4,20,0,89,0,0,22,7,0,3,10,1,319,6,21,5,0,2,0,0,0,2,0,11,1,0,1,0,0,0,0,POINT (528724 180978),122.57446808510635
CENCY148,1462,CENCY,Central area cycle surveys,530629,182017,Lambs Conduit Street,Camden,Central,51.52197189,-0.118549864,0,0,57,0,0,3,6,5,0,0,139,148,21,41,62,666,14,217,0,4,16,0,111,2,0,35,4,0,0,0,1,25,1,6,1,0,2,1,0,0,0,0,11,0,0,0,0,0,0,0,POINT (530629 182017),250.45957446808507
CENCY149,2389,CENCY,Central area cycle surveys,531042,180301,Upper Ground,Lambeth,Central,51.50645537,-0.113237804,0,1,25,1,0,2,5,5,0,0,141,105,39,32,49,373,38,238,0,5,13,5,122,4,0,29,8,2,0,4,2,23,1,2,2,2,5,4,0,0,4,0,11,0,0,0,0,0,0,0,POINT (531042 180301),149.57313432835826
CENCY150,1293,CENCY,Central area cycle surveys,532048,180353,Sumner Steet,Southwark,Central,51.50668872,-0.098731675,1,1,47,4,1,2,9,4,0,0,133,83,32,34,74,436,44,215,0,6,10,3,110,0,0,33,4,0,1,6,1,8,1,3,1,4,4,2,0,0,6,0,12,0,0,0,0,0,0,0,POINT (532048 180353),158.88902439024395
CENCY151,599,CENCY,Central area cycle surveys,531087,179378,Hercules Road,Lambeth,Central,51.49815033,-0.11293247,0,0,3,0,0,0,1,11,0,0,73,65,10,26,35,366,26,235,0,1,14,2,120,4,0,29,8,0,0,3,2,4,1,1,2,5,4,7,0,0,3,0,5,0,0,0,0,1,0,0,POINT (531087 179378),206.59478260869565
CENCY152,1819,CENCY,Central area cycle surveys,531866,179687,Webber Street (east),Southwark,Central,51.50074616,-0.101601294,1,0,8,3,0,2,2,12,0,0,109,75,21,30,53,498,22,225,0,4,14,1,116,0,0,43,8,0,0,5,4,6,1,3,2,4,4,6,0,0,9,0,10,0,0,0,0,0,0,0,POINT (531866 179687),204.78661971830977
CENCY153,627,CENCY,Central area cycle surveys,532979,179385,Weston Street,Southwark,Central,51.49777174,-0.085689632,1,0,10,1,0,0,3,5,0,0,102,56,25,25,58,347,6,194,0,4,4,0,107,0,0,42,9,0,2,10,3,5,0,1,0,0,0,3,0,0,10,0,8,0,0,0,0,0,0,0,POINT (532979 179385),229.1554878048781
CENCY154,849,CENCY,Central area cycle surveys,531198,180171,Cornwall Road (north),Lambeth,Central,51.50525096,-0.111039664,0,1,14,2,0,2,3,6,0,0,105,85,29,25,39,362,28,213,0,3,13,5,109,4,0,25,9,2,0,4,2,8,2,2,2,4,4,5,0,0,4,0,9,0,0,0,0,0,0,0,POINT (531198 180171),162.32777777777784
CENCY156,743,CENCY,Central area cycle surveys,531036,181253,Carey Street,Camden,Central,51.51501198,-0.112970723,0,1,80,3,0,4,10,4,0,0,176,131,49,43,71,534,24,228,0,6,13,2,115,2,0,19,5,1,0,4,0,56,2,5,2,0,3,1,0,0,2,0,15,0,0,0,0,0,0,0,POINT (531036 181253),152.49480519480525
CENCY157,1106,CENCY,Central area cycle surveys,533124,181879,Appold Street,Hackney,Central,51.52014976,-0.082661306,3,1,72,1,4,5,18,5,2,0,196,139,73,48,112,537,32,247,0,8,8,0,131,0,0,30,9,0,4,2,0,46,0,2,1,0,14,3,0,1,2,0,22,0,0,0,0,0,0,0,POINT (533124 181879),194.77757009345794
CENCY158,997,CENCY,Central area cycle surveys,532371,181588,Wood Street,City of London,Central,51.51771151,-0.093617104,1,2,89,3,5,3,19,3,1,0,167,105,61,46,101,457,60,262,0,8,9,1,139,0,0,18,8,0,4,2,0,29,2,4,0,0,9,4,0,1,1,0,22,0,0,0,0,0,0,0,POINT (532371 181588),179.74415584415587
CENCY159,234,CENCY,Central area cycle surveys,533116,180993,Lime Street,City of London,Central,51.51218969,-0.083110848,2,1,58,3,5,5,15,7,1,0,242,150,79,64,146,364,51,235,0,9,4,3,120,0,0,27,3,0,6,7,0,38,1,0,1,0,12,3,0,0,1,0,27,0,0,0,0,0,0,0,POINT (533116 180993),131.69583333333333
