LocationID,Count,ProgID,SurveyDescription,Easting,Northing,Location,Borough,Functional cycling area,Latitude,Longitude,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count
CSHCY013,4196,CSHCY,Cycle Superhighway cycle surveys,536993,182730,Bow Road,Tower Hamlets,Inner,51.52687268,-0.026601435,2,0,1,0,0,0,2,3,0,0,6,19,1,3,16,125,2,143,0,2,2,0,71,0,0,20,2,0,0,3,1,3,0,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
CSHCY014,5987,CSHCY,Cycle Superhighway cycle surveys,535989,182230,Mile End Road (east),Tower Hamlets,Inner,51.52262205,-0.04125807,0,0,0,0,0,0,2,5,1,0,16,13,0,4,13,140,2,139,0,1,1,0,69,1,0,27,0,0,0,1,2,3,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0
CSHCY015,5855,CSHCY,Cycle Superhighway cycle surveys,535218,181982,Mile End Road (west),Tower Hamlets,Inner,51.5205784,-0.052459362,1,1,1,0,0,0,3,4,1,0,28,34,5,13,35,180,7,153,0,0,1,0,77,1,0,33,1,0,0,3,3,11,1,0,0,0,2,4,0,0,2,0,2,0,0,0,0,0,0,0
CSHCY016,6962,CSHCY,Cycle Superhighway cycle surveys,534677,181793,Whitechapel Road East,Tower Hamlets,Inner,51.51900913,-0.060324291,1,1,8,0,0,0,4,9,1,0,49,54,4,20,30,229,9,135,0,1,1,0,68,1,0,34,4,0,0,4,1,22,0,0,1,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0
CSHCY017,6902,CSHCY,Cycle Superhighway cycle surveys,533928,181376,Whitechapel High Street,Tower Hamlets,Inner,51.51543975,-0.071271171,2,0,23,1,2,4,9,13,1,0,168,129,52,48,105,312,17,193,0,5,7,0,99,0,0,32,5,0,1,3,0,35,0,1,2,0,11,2,0,0,2,0,22,0,0,0,0,0,0,0
CSHCY018,3150,CSHCY,Cycle Superhighway cycle surveys,538365,183622,Stratford High Street,Newham,Inner,51.53455397,-0.006486347,5,0,2,0,0,1,3,3,0,0,40,26,3,2,21,151,3,96,0,4,5,0,48,0,0,9,5,0,1,3,2,23,0,2,3,0,0,3,0,0,5,0,8,0,0,0,0,0,0,0
CSHCY024,797,CSHCY,Cycle Superhighway cycle surveys,539005,181297,Barking Road,Tower Hamlets,Inner,51.5135046,0.001818424,0,0,1,0,0,3,1,2,0,0,21,25,6,1,30,105,5,148,0,0,1,1,75,0,0,26,7,0,0,2,1,3,0,1,2,0,2,1,0,0,3,0,10,0,1,0,0,0,0,0
CSHCY025,881,CSHCY,Cycle Superhighway cycle surveys,538604,180826,Naval Row,Tower Hamlets,Inner,51.50937063,-0.004141639,0,0,1,1,0,3,1,0,0,0,36,25,6,3,34,135,2,121,0,0,1,1,62,0,0,21,4,0,0,3,2,2,0,1,0,0,0,1,0,0,2,0,11,1,0,0,0,0,0,0
CSHCY026,1294,CSHCY,Cycle Superhighway cycle surveys,537740,180755,Poplar High Street,Tower Hamlets,Inner,51.5089437,-0.016611336,2,0,8,2,1,3,4,12,0,0,67,45,13,7,85,214,8,175,0,6,1,1,89,0,0,32,6,0,1,5,2,21,1,1,2,0,1,3,0,0,4,0,9,1,0,0,0,0,0,0
CSHCY027,1626,CSHCY,Cycle Superhighway cycle surveys,537334,180766,Ming Street,Tower Hamlets,Inner,51.50914128,-0.022453608,1,0,3,1,1,1,4,13,0,0,58,39,12,7,80,196,8,148,0,6,2,2,76,0,0,28,7,0,1,4,2,21,1,1,2,0,1,3,0,0,5,0,5,1,0,0,0,0,0,0
