LocationID,office,sustenance,transport,retail,leisure,residence
Imperial Wharf,-0.424827756,-0.451606958,0.051512952,-0.04531609,-0.362270484,-0.174931006
Island Gardens,-0.139841094,-0.431168064,-0.338828347,-0.270118335,-0.250985634,-0.174931006
Kennington,-0.0292231,0.186278626,0.230418595,0.177623011,0.550484598,1.764253045
Kensington (Olympia),0.816533378,-0.169552377,-0.280056195,-0.021885118,0.302531721,-0.174931006
Kentish Town,-0.076341944,-0.270913068,-0.02813966,-0.146550703,-0.140017805,0.296711393
Kentish Town West,-0.170710154,-0.025507511,0.21368232,-0.023803229,-0.220940936,1.14701099
Kilburn High Road,-0.294317175,-0.719376932,-0.368001694,-0.673625368,-0.261593123,-0.174931006
King George V,-0.482187149,-0.798613316,-0.32271627,-0.768061954,0.127829649,-0.174931006
Knightsbridge,-0.211617509,-0.370375382,-0.291792311,-0.106682038,0.108292337,-0.174931006
Ladbroke Grove,-0.09831301,-0.100102501,-0.274287134,0.374937677,-0.057239542,-0.174931006
Lambeth North,-0.190269684,0.526009453,1.257126917,0.270125782,1.096140713,1.764253045
Lancaster Gate,0.648809478,0.002008567,-0.116374107,0.372618112,0.100959648,0.810867023
Langdon Park,-0.435275834,-0.545556959,-0.275762803,-0.25905571,0.002038282,-0.174931006
Latimer Road,-0.166525354,-0.170258851,-0.249656341,0.811435167,-0.281728596,-0.174931006
Leicester Square,0.958280561,3.049161132,1.265414464,1.832445521,0.284099755,0.250218793
London City Airport,-0.500345522,-0.880189231,-0.781363823,-0.808846672,-0.129442427,-0.174931006
London Fields,-0.108726779,-0.143420098,0.069637876,-0.199837681,0.002068062,-0.174931006
Maida Vale,-0.211235607,-0.650005832,-0.037386002,-0.44185907,-0.188691975,-0.174931006
Manor House,-0.367086462,-0.417306993,-0.220780107,0.061969093,-0.2363575,0.296711393
Manor Park,-0.500345522,-0.821577437,-0.735891387,-0.822334104,-0.475442576,-0.174931006
Mansion House,1.781635197,1.855307963,1.524785935,0.231769612,0.344506172,-0.174931006
