LocationID,office,leisure,transport,retail,sustenance,residence
3013,-0.287319771,-0.600109862,-0.597270759,-0.423426065,-0.286440648,-0.160553138
3015,1.22297065,0.278747116,0.015702901,-0.172242566,-0.084632134,-0.160553138
3019,-0.383561174,-0.627914279,-0.429303583,-0.447036557,-0.35785199,-0.160553138
3022,0.780929471,0.425757617,0.062846908,1.320842536,-0.251020688,1.266933697
3023,-0.293739611,-0.544234409,0.04825484,-0.27766327,0.223823582,-0.160553138
3025,0.696308655,0.421810776,0.014856776,1.330018902,-0.251020688,1.266933697
3029,0.850385945,0.39221993,0.090884,1.496389029,-0.295581349,1.266933697
3030,0.866280411,0.42223685,0.066188623,1.687226173,-0.295581349,1.266933697
3031,0.675606336,-0.037077162,-0.1402068,0.338175793,-0.429263331,1.266933697
3032,0.675606336,-0.002378853,-0.157296392,0.431678427,-0.429263331,1.266933697
3038,-0.42183424,-0.26505203,-0.153958724,-0.171767374,0.227011227,-0.160553138
305,-0.090582423,-0.036941466,0.248711306,-0.284953115,-0.003934863,-0.160553138
3054,0.430530598,-0.265978127,-0.266738121,0.302255482,-0.38013232,2.094696123
306,-0.100867358,-0.021832025,0.25940128,-0.201286188,0.022237975,-0.160553138
307,-0.100867358,-0.031095061,0.256727909,-0.210462554,0.070691144,-0.160553138
30743,-0.332136496,-0.365020066,-0.262803465,0.448621428,0.029484624,-0.160553138
308,-0.100867358,-0.063683849,0.217587214,-0.284953115,0.022237975,-0.160553138
31,0.595855698,0.661805941,1.272903562,0.388134258,-0.223562309,-0.160553138
31090,-0.323690053,-0.425642684,-0.175858184,-0.587252713,-0.199961366,0.384596842
312,-0.383561174,-0.020105959,-0.278371196,0.540164551,-0.072206623,-0.160553138
314,-0.350867876,0.046193512,-0.243239856,0.624259356,-0.027003192,-0.160553138
31498,0.008180618,0.254605849,0.867476592,0.054491254,0.463346485,-0.160553138
315,-0.292150362,0.013296459,-0.254791657,0.646774471,-0.121337635,-0.160553138
3162,-0.01454659,-0.304775413,-0.168994379,-0.104452523,-0.120694864,0.315275807
3177,1.26222955,1.824891158,1.267077688,0.194665233,0.092897594,-0.160553138
3178,1.102517736,1.869957264,1.899998975,0.378309189,0.115177924,-0.160553138
318,-0.400360005,0.086010022,0.208014196,-0.323243479,-0.145686565,-0.160553138
3182,-0.165644982,-0.447256532,0.021644825,0.300474633,-0.218956887,-0.160553138
3183,-0.165644982,-0.535096202,-0.049892831,-0.24949477,-0.196676556,-0.160553138
