LocationID,office,sustenance,transport,retail,leisure,residence
Abbey Road,-0.48277664484030414,-0.8431444136472164,-0.8024610981545479,-1.230946740000318,-0.09626109493106749,-0.7424084965154706
Aldgate,3.027766792675352,2.5180106279624686,1.6440440705116104,0.6742871154296793,2.2427484309044834,-0.7376504567697507
Aldgate East,2.386877153409179,2.3527217755322187,0.9920682076324346,0.49755329381349883,2.2497789486274518,-0.4230567076415091
All Saints,0.1453755618427283,0.09129777493215599,0.19233531232214052,0.5299669267365092,0.5242903285947967,-0.1475284830992911
Angel,0.12747257547040183,0.48554108556425246,0.14921370978589696,0.9641624779558797,-0.5046743627390478,1.0205891364630624
Archway,-0.653441412091582,-0.5874479655082728,-0.37774923485295303,-0.3784915452235111,-0.6371066296807838,0.4390846889091998
Arsenal,-0.48551111520636536,0.24908669050232815,-0.32742223856020886,2.316441035247467,-0.11664452567058134,0.9233103508491188
Baker Street,1.347052741410195,0.16761243057005765,0.7418981056709778,1.4267418949197133,-0.22075783543138425,0.026383116911914504
Barbican,3.5939095086796713,1.4138521259768024,1.9899907838226827,0.5795384923540982,1.7731227978245518,-0.6900725299629176
Barons Court,0.9857893334892635,-0.04105368939897427,-0.13870662428697458,-0.5118182891225979,-0.8534243563381301,1.0486427729858356
Battersea Park,-0.34452300434965155,-0.6651167405005264,-0.7990640415828693,-0.9059650932455171,-0.020977978094683887,-0.9631965937576986
Bayswater,0.6832985131984723,0.1998981126030865,-0.07050975024503049,0.9674091655811321,-0.11339207258736483,0.6603091674069164
Beckton,-0.9092780408234158,-0.9537575819251916,-1.1870059596245666,-1.1022834015374172,-0.7671612453106299,-1.5989280967219972
Beckton Park,-0.9092780408234158,-0.9191969705116754,-1.0776816617208185,-1.2387891341743253,-0.6186955709321136,-1.697984390879939
Belsize Park,-0.7716925717579458,-0.6790857001238183,-0.6347381218076145,-0.9929765683256614,-0.8592563561387997,0.6743093788395433
Bermondsey,-0.6565423348721628,-0.3454474936754213,-0.3746615397654742,-0.41256748806470805,0.5918610033681162,0.7575144586833625
Blackwall,-0.07316107215217933,0.01980240884837029,-0.26936479381555906,0.3685322713203251,0.2802751948993314,-0.7047938835665689
Bond Street,1.789855335508193,1.5297020135241322,0.9574196772619519,2.910297045183484,0.48987406147509727,-1.1556526065853456
Borough,0.11250993775671035,1.0243801412449176,1.3554357352103228,0.7103516945502713,3.4988177857298237,0.3389827242913502
Bounds Green,-0.7446289815743709,-0.8503143529661086,-1.0202431906768894,-0.5814526117530517,-0.8445737705500492,-0.49699793079461596
Bow Church,-0.32809776930871565,-0.720533157418604,-0.6961398220140732,-0.7399571711992298,1.1742422121536977,0.2495734159815853
Bow Road,-0.4325173230257744,-0.7088570387114844,-0.3284556309781775,-0.6166105976494854,-0.0756857462254482,0.6743941073540948
Brockley,-0.9092780408234158,-0.8530915031125509,-0.8741511950947622,-1.1826519823291122,-1.2021743499372124,-0.43850080895038757
Bromley-by-Bow,-0.5238521558287751,-0.8123715985814389,-0.8421547906845971,-0.8563795711606951,2.074400417656013,-0.651474710567372
Bruce Grove,-0.611591787235822,-0.6199712791997701,-0.6810656698253531,-0.5221671543875241,-0.1964540135658452,0.3567899620024959
Caledonian Road,-0.7991031772366817,-0.20251435863224154,-0.4934459029075919,-0.14809735205218386,-0.6416585483890805,0.7760691687912374
Cambridge Heath,-0.49010033074621545,-0.18662028050587529,-0.3723643579239912,-0.08960813025655107,-0.0730146588984633,1.1799964235629723
Camden Road,-0.7667979929181629,-0.14659482935700363,0.5114699557320543,-0.5716535748978753,-1.0755740827961457,0.5580798843203185
Camden Town,-0.675876644271269,-0.12887030627530666,0.4137928489688305,-0.500893585512221,-1.0755740827961457,0.4006344082300475
Canada Water,-0.6951301592111092,-0.616372364546611,-0.47684290502251964,-0.9360047810247788,0.8164893288408037,-0.18050609643175253
Canning Town,-0.5653411509733527,-0.591186216261535,-0.5039706121099504,-0.23065271552291264,1.9802319871342184,-0.8330201942639274
Canonbury,-0.8762788259145744,-0.3754095447564936,-0.3407148029285826,-0.43804887367543605,-1.1769555419137647,0.8807924746535274
Chalk Farm,-0.5712903901146403,-0.2073777576701893,0.11435963415782968,-0.5911919129549954,-0.6094092226426646,0.48414110284843265
Chancery Lane,1.709009087512536,1.7218400574159847,1.6618057825265184,0.30189010685671397,-0.14228799754778285,-0.8847736560928459
Clapham Common,-0.4909330241969005,0.16826725857908406,-0.6296667571191891,-0.6758924845606962,0.32768520738132806,0.2904082114889161
Clapham High Street,-0.27639638155105056,0.3477100112183195,-0.49291738387941586,-0.20046397162805546,0.28702433511678915,0.9946091099452564
Clapham Junction,-0.061317515877464146,0.03300647266100189,-0.11764820501952042,0.8767208510842938,-0.09504674547784822,0.6323018729467268
Clapham North,-0.2928959890054712,0.38089081945409364,-0.37298998742685224,-0.24098303092252968,0.28702433511678915,1.2091828943598142
Clapham South,-0.722193749394684,-0.6643723178893048,-1.0462254684618366,-0.7753105339157178,-1.0304622395260918,-0.14693494635472681
Clapton,-0.9092780408234158,-0.7730727670616022,-0.607551934510729,-0.9977530593530016,-0.9859575709826479,0.6521277625270145
Covent Garden,0.9450708510430746,3.228064088330467,2.6646314932288684,2.550333680110627,0.8124133570204577,-1.493543482218281
Crouch Hill,-0.45771715408780017,-0.5233229915365734,-0.5374694046788865,-0.16504200117648174,-0.6693559554271998,0.6582662726440134
Custom House,-0.463789350736359,-0.7324277167000118,-1.018313859790235,-1.1547715530335103,-0.10287900730986617,-0.9897148112458639
Cyprus,-0.8927784333689953,-0.9442730608052828,-1.0369120028458583,-1.0693613135777917,-0.6890262222256153,-1.8797157084125748
Dalston Junction,-0.8296147054959986,-0.12259620788827666,0.13111057224789768,-0.7621244440597268,-0.7038611117400966,1.2647346163699096
Dalston Kingsland,-0.8847021372893655,-0.07217941573169838,0.07686858552789345,-0.5438605962147274,-0.9271084084176295,1.4606513306074955
Denmark Hill,-0.32116732551409954,-0.5717493818760173,-0.5776484876179223,-0.664328936781372,-0.4782570367933015,0.16565854262934215
Devons Road,-0.6668595338847803,-0.7785682759493785,-0.44399884042606264,-0.7576133072818189,-0.8915056818852156,0.3681101150704987
East Acton,-0.9092780408234158,-0.9806842026609681,-1.143274939814894,-1.35820542807512,-1.4946547276887299,-1.1981886072671397
East Ham,-0.47097300029329336,-0.6004889431640947,-0.9899602136472373,-0.17224869844664237,-1.4946547276887299,1.5386906195436107
East India,-0.5927517564520886,-0.46035403406055364,-0.36440876737903793,-0.6091239150050201,-0.40587245033888214,-0.9715694920304168
East Putney,-0.8597792184601539,-0.8445114505912921,-0.5200813598485271,-1.203756993475512,0.11215131223198398,-0.3015617253511896
Elverson Road,-0.7826035697822611,-0.5692615761299733,1.424517167491372,-0.7357083201650039,-0.8927041998075143,-0.4127499908757525
Embankment,0.362897482925622,2.1152210086444647,3.102164968373723,1.6796951554114419,0.44882847390689384,-1.699498371816412
Euston Square,0.20853220536362868,1.129666375995965,1.3544975534248915,0.1458631479654354,0.4378869721511499,0.4583589334848545
Farringdon,2.419456777373352,1.3232256678498033,1.5682513022057165,-0.030963024827261154,0.5895649152263005,-0.5020336396972997
Finchley Road,-0.7527052776540006,-0.6742448742730573,-0.6128591622392466,-0.1289873564893342,0.03152771269284025,0.4273792398324683
Finsbury Park,-0.223788427384901,0.02208933942928846,-0.2749406935493145,1.6472268339469651,-0.44017571124621585,0.6719519550461597
Forest Gate,-0.7111832309740435,-0.8779067719161296,-1.0175094107104297,-1.0300012017325912,-1.30475432697713,0.6902856734687072
