ID,LocationID,Easting,Northing,latitude,longitude,Zone,Postcode,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count,geometry,population_density
86,Bush Hill Park,533696,195396,51.64148185,-0.069280412,5,EN1 1BA,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,22,0,64,0,0,2,0,64,0,0,4,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (533696 195396),69.21132969900519
87,Bushey,511860,195318,51.64554353,-0.384721533,8,WD19 4ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (511860 195318),
98,Canons Park,518208,191246,51.60765009,-0.294391591,5,HA8 6RN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,28,0,0,0,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,POINT (518208 191246),48.78812030809689
99,Carpenders Park,511826,193386,51.62818609,-0.385829315,7,WD19 7DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (511826 193386),
107,Chadwell Heath,547646,187611,51.56804709,0.128901113,5,RM6 4BE,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,29,0,38,0,0,1,0,38,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,POINT (547646 187611),74.67468734836862
116,Chesham,496048,201650,51.70537902,-0.611429635,9,HP5 1DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (496048 201650),
117,Cheshunt,536652,202307,51.70287328,-0.023887415,8,EN8 9AQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (536652 202307),
120,Chigwell,543835,193045,51.617858,0.076179215,4,IG7 6NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (543835 193045),
121,Chingford,539173,194628,51.63325339,0.009514326,5,E4 6AL,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,29,0,38,0,0,0,0,33,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (539173 194628),29.808486807299744
125,Chiswick Park,520352,178692,51.49437028,-0.267736918,3,W4 5NE,0,0,3,0,0,0,0,3,0,0,19,10,2,7,7,216,3,68,0,2,3,0,66,0,0,7,1,0,0,0,1,2,0,2,0,0,2,0,0,0,0,0,2,0,0,0,8,0,4,0,POINT (520352 178692),78.85769937664358
