LocationID,office,sustenance,transport,retail,leisure,residence
Acton Central,0.32359550561797756,0.6576700950277259,0.38238515030389314,0.6072093416821798,0.1,0.6349017497194744
Acton Town,0.3876404494382023,0.6159545339499781,0.37044844768110385,0.4476786822361369,0.6072664359861591,0.3977561849522513
Alperton,0.0,0.12475552794459398,0.2105897169139791,0.1340328312743273,0.0,0.4338407614340204
Amersham,0.0,0.0,0.0,0.0,0.0,0.37453882776475744
Anerley,0.13146067415730336,0.1898253606681852,0.38317910529485844,0.29446606870874936,0.4705882352941177,0.4376866928075193
Arnos Grove,0.016853932584269662,0.09334805917949425,0.37211849093796195,0.12861736334405144,0.0,0.3301535389070039
Barking,0.5835205992509362,0.17873495777823792,0.5147292339703226,0.24685507982174087,0.42352941176470593,0.6181718411436348
Barkingside,0.11797752808988764,0.22519040058903378,0.25891146032962825,0.3256050093078355,0.21176470588235297,0.22611333390503746
Becontree,0.0,0.042382825981914805,0.16385588348026067,0.10763242511423252,0.02491349480968858,0.4032143970612701
Blackhorse Road,0.05056179775280899,0.2695980304180759,0.41581339319936483,0.5136796976363739,0.40588235294117647,0.4459780371527046
Boston Manor,0.25955056179775277,0.21897793423989323,0.325466790779171,0.16449483838212894,0.2647058823529412,0.26131120873234454
Brent Cross,0.0,0.12197142265479392,0.34917592947489456,0.7711400688215716,0.15294117647058822,0.3707818698284186
Brentwood,0.0,0.0,0.0,0.0,0.0,0.37453882776475744
Brondesbury,0.1397003745318352,0.28450794965601334,0.5650769315008487,0.3143791955773679,0.835294117647059,0.7800025838786457
Brondesbury Park,0.15655430711610488,0.22958514530268512,0.4254503641241855,0.24516274609352967,0.09411764705882351,0.6053383648744712
Buckhurst Hill,0.0,0.0,0.0,0.0,0.0,0.05042350560484886
Burnt Oak,0.0,0.03617035963277421,0.2791436237200898,0.14441247814068933,0.10588235294117648,0.505176186555024
Bush Hill Park,0.0,0.08665240100319825,0.3782511087992116,0.21188018277204268,0.10588235294117648,0.4083787357583319
Bushey,0.0,0.0,0.0,0.0,0.0,0.37453882776475744
Canons Park,0.0,0.00821426106164147,0.14105021080873897,0.01015400236926722,0.4705882352941177,0.27969675178210807
Carpenders Park,0.0,0.0,0.0,0.0,0.0,0.37453882776475744
Chadwell Heath,0.0,0.0574538091622374,0.23249192356129883,0.07717041800643086,0.15294117647058822,0.44280210615205323
Chesham,0.0,0.0,0.0,0.0,0.0,0.37453882776475744
Cheshunt,0.0,0.0,0.0,0.0,0.0,0.37453882776475744
Chigwell,0.0,0.0,0.0,0.0,0.0,0.37453882776475744
Chingford,0.2865168539325843,0.04502887646395618,0.19512128346930954,0.04061600947706888,0.0,0.1601104102195805
Chiswick Park,0.14606741573033707,0.485837877637422,0.7862344631221596,0.25746037118519777,0.30588235294117644,0.4691583108254702
Chorleywood,0.0,0.0,0.0,0.0,0.0,0.37453882776475744
Cockfosters,0.03183520599250936,0.04475276684843882,0.22299184142802392,0.0,0.10588235294117648,0.12676169661746056
Colindale,0.07415730337078653,0.16545868709877817,0.3476975305262005,0.25204490325492185,0.15294117647058822,0.41923140473849785
Colliers Wood,0.09101123595505617,0.2888106578311589,0.3734326233368012,0.3802109776047837,0.8484429065743945,0.565077534965151
Croxley,0.0,0.0,0.0,0.0,0.0,0.37453882776475744
