,MSE,RMSE,MAE,R2
office,0.006000000052154064,0.07900000363588333,0.052000001072883606,0.698
sustenance,0.004999999888241291,0.06800000369548798,0.04899999871850014,0.771
transport,0.006000000052154064,0.07900000363588333,0.057999998331069946,0.693
retail,0.007000000216066837,0.08399999886751175,0.05999999865889549,0.679
leisure,0.010999999940395355,0.10199999809265137,0.07199999690055847,0.626
residence,0.006000000052154064,0.07999999821186066,0.061000000685453415,0.619
