,MSE,RMSE,MAE,R2
office,0.01899999938905239,0.1379999965429306,0.09000000357627869,0.079
sustenance,0.01600000075995922,0.12800000607967377,0.08500000089406967,0.184
transport,0.01899999938905239,0.1379999965429306,0.09799999743700027,0.07
retail,0.019999999552965164,0.14100000262260437,0.10100000351667404,0.089
leisure,0.027000000700354576,0.164000004529953,0.11500000208616257,0.041
residence,0.014999999664723873,0.12399999797344208,0.09399999678134918,0.072
