,MSE,RMSE,MAE,R2
office,0.012000000104308128,0.10700000077486038,0.07500000298023224,0.441
sustenance,0.009999999776482582,0.09799999743700027,0.07100000232458115,0.525
transport,0.012000000104308128,0.10999999940395355,0.07999999821186066,0.408
retail,0.012000000104308128,0.10899999737739563,0.0820000022649765,0.457
leisure,0.01600000075995922,0.12800000607967377,0.09200000017881393,0.415
residence,0.010999999940395355,0.10300000011920929,0.07900000363588333,0.358
