,MSE,RMSE,MAE,R2
office,0.004999999888241291,0.07199999690055847,0.04600000008940697,0.749
sustenance,0.003000000026077032,0.057999998331069946,0.039000000804662704,0.835
transport,0.004999999888241291,0.07400000095367432,0.05299999937415123,0.734
retail,0.006000000052154064,0.07599999755620956,0.05400000140070915,0.731
leisure,0.008999999612569809,0.09600000083446503,0.06400000303983688,0.673
residence,0.004000000189989805,0.06499999761581421,0.04800000041723251,0.748
