,MSE,RMSE,MAE,R2
office,0.004999999888241291,0.07000000029802322,0.04600000008940697,0.764
sustenance,0.003000000026077032,0.05700000002980232,0.039000000804662704,0.835
transport,0.004999999888241291,0.07400000095367432,0.05299999937415123,0.734
retail,0.006000000052154064,0.07500000298023224,0.052000001072883606,0.74
leisure,0.008999999612569809,0.0949999988079071,0.06400000303983688,0.678
residence,0.004999999888241291,0.06800000369548798,0.050999999046325684,0.726
