,MSE,RMSE,MAE,R2
office,0.012000000104308128,0.10899999737739563,0.06800000369548798,0.423
sustenance,0.009999999776482582,0.09799999743700027,0.06300000101327896,0.525
transport,0.012000000104308128,0.10999999940395355,0.07699999958276749,0.409
retail,0.012000000104308128,0.10899999737739563,0.07599999755620956,0.452
leisure,0.01600000075995922,0.12800000607967377,0.08699999749660492,0.412
residence,0.010999999940395355,0.10300000011920929,0.07900000363588333,0.362
