,MSE,RMSE,MAE,R2
office,0.004999999888241291,0.07400000095367432,0.04699999839067459,0.736
sustenance,0.003000000026077032,0.057999998331069946,0.04100000113248825,0.83
transport,0.004999999888241291,0.07400000095367432,0.05400000140070915,0.731
retail,0.004999999888241291,0.0729999989271164,0.05400000140070915,0.748
leisure,0.00800000037997961,0.09000000357627869,0.05999999865889549,0.706
residence,0.004999999888241291,0.0729999989271164,0.0560000017285347,0.68
