,MSE,RMSE,MAE,R2
office,0.004000000189989805,0.06199999898672104,0.04100000113248825,0.817
sustenance,0.003000000026077032,0.0560000017285347,0.039000000804662704,0.846
transport,0.004000000189989805,0.06499999761581421,0.04800000041723251,0.791
retail,0.004999999888241291,0.06800000369548798,0.04899999871850014,0.784
leisure,0.006000000052154064,0.07599999755620956,0.052000001072883606,0.793
residence,0.004000000189989805,0.06300000101327896,0.04800000041723251,0.759
