,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45
office,0.014519450120627265,0.014271925876115792,-0.0015205480582406877,0.0037763498125769493,-0.027022478989022537,-0.004935159992792777,0.04381666150307562,0.03864616567423148,-0.0057643457530953575,-0.008365697834581161,-0.04900482312444605,-0.017969326495613336,0.003465757167839252,-0.008298977030383053,-0.004769305620059346,0.012020748426590726,-0.018678680105574785,0.03444252778576816,-0.02594589690337112,0.03878775659170883,0.04344304480558977,0.043098556654928954,-0.014226554695267098,0.014542027748937328,-0.012709023740848069,-0.0390692699348005,0.013765095302820936,0.04967466720578534,-0.01637377185140439,0.005735241077665859,0.03406276223968134,-0.039958646516139056,-0.0008462350881991226,0.003011348670512476,-0.05106662043757082,-0.019930566300636478,-0.025854678172471925,0.02528931350489654,0.04226393758880359,-0.008835288910326337,0.011203060299959154,0.03425557088934134,-0.011773448166044103,-0.004728403990972538,-0.04091776831940462,-0.03132393976262912,-0.05958313167329075,-0.028614822433896268,-0.061558335520253804,-0.020274209820893355,-0.00045875180090230755,0.027924727173394115,0.040385651957464984,0.019990929282201957,0.029476762343164965,-0.0013536802828497585,0.0027889804331306094,-0.03118627080929518,-0.01525984188254066,-0.012653349461790126,-0.043453985558990056,-0.014827022278441545,-0.011311325098531829,-0.006637528564958305
sustenance,0.018270328037671372,0.011422864615052514,-0.006945213148018056,-0.0005131444547056213,-0.025135886088355888,-0.0037283687828492396,0.04493412636846848,0.04665212408706129,-0.0003429796982272445,-0.010571766297780817,-0.04928162078195397,-0.027197641699076916,-0.00956274497340941,-0.007817064285971892,-0.006476486884028898,0.011101893626279799,-0.018725708305194034,0.025971145297106344,-0.03348389932784145,0.030591751818748257,0.04354453112825053,0.050156154934724057,-0.009424530010202289,0.01291590176060944,-0.011738151754678754,-0.029455673450456153,0.012835710964105431,0.04936803551944012,-0.022690487583479656,0.0049803181058290565,0.028155339921685264,-0.03585031097027435,-0.006682324602068155,-0.007644491111824665,-0.04896757513947188,-0.011808945376130465,-0.01836987671628406,0.019283608332188243,0.03290775183425272,-0.01203297255820567,0.018438678977361646,0.028485729417936517,-0.013514264179846774,-0.009808157992427353,-0.03338787981651834,-0.03113302080090033,-0.0645619068144506,-0.03126002036700398,-0.06465795221462668,-0.019226472381797758,0.0018227706581445044,0.032380752297868076,0.04366180760536321,0.028249397470447475,0.0359872572440115,0.006614189524698522,0.005558353841838693,-0.03173773817468846,-0.015390353087126721,-0.012268031720208688,-0.04307784269200167,-0.023894061914421918,-0.023434026173525743,-0.021071358829998485
transport,0.012984746186449757,0.011856775884210937,-0.006281417300885044,0.0008587968391556065,-0.015914494483639054,0.0017084740522580915,0.040060357657433925,0.05651648765658508,-0.0004998026035555457,-0.007807869766412004,-0.05269261606078267,-0.0326327376435298,-0.011412815595742233,-0.023844062349275878,-0.016950879833974655,0.006109001234150181,-0.018151103969233796,0.02558361002515885,-0.03127950144255458,0.0364241388339191,0.048998359560613124,0.05107585529070397,-0.007812433722450461,0.01905749225960433,-0.006068003974591765,-0.02785350164741384,0.013455671673942037,0.0511403257179264,-0.018598856355142655,0.005681298706619266,0.024825888351035635,-0.02886974634830278,0.0004015276744976989,-0.00509966589244873,-0.054339780354588536,-0.0037773546446987017,-0.023307055366944964,0.010528993499184765,0.036790946197131594,-0.002576277817061704,0.016562743554717166,0.030393990342773736,-0.015296456468755854,-0.008367027106032753,-0.037784467024907425,-0.03785120589924306,-0.06486666100940248,-0.035835112849180284,-0.06935581451521551,-0.02050368895357023,-0.0002945582763225291,0.031305789654003074,0.04509825300408964,0.024448523803458855,0.03729712300791769,0.00790174901392887,0.00276329174025401,-0.02901602259904293,-0.011374598750237917,-0.007363638037751891,-0.04250476849783308,-0.025144868179205946,-0.013637163649235744,-0.01905192466561725
retail,0.03597638213824624,0.01342013063789099,0.004550829066430119,0.0017147146431644906,-0.022890823108051368,0.0019711621973680553,0.04398753497272565,0.033492908400650306,0.009941803150352747,0.007494036902574585,-0.0315932206891303,-0.02736973033413577,-0.0014920504208328952,0.001208755527059253,-0.015860037166905403,-0.0012621666147596571,-0.005917370932236793,0.01389293283416585,-0.02912818119243362,0.013072381131340082,0.02556068909233158,0.032671970918637945,-0.013459432684573277,-0.0025931626374992274,-0.024853341334985957,-0.03369367026356253,-0.0029984884114966797,0.03392916958989082,-0.016118673898506165,-0.003743568905930058,0.03833902198171123,-0.043476214097086734,-0.00046807355761516406,-0.00027493224758841974,-0.03806371868117302,-0.020723302755567632,-0.012709309442564024,0.023220983868548917,0.024517388060748487,-0.021378808679858904,0.020013561898060358,0.033030373200498696,-0.0011182645172945881,-0.002542976815413394,-0.02153450460772143,-0.019953459304883892,-0.05117524788648881,-0.018148195939025655,-0.04516518517360292,-0.011118121029731226,0.009016200014033696,0.02958275475325284,0.036129280397782175,0.0239907220713281,0.02239476786346292,-0.0001973218183874094,0.0055718425804034835,-0.026328006566344073,-0.01862825435927459,-0.010912248243371035,-0.03927077698833926,-0.0010615613151186473,-0.015320545416285346,-0.004326355576056536
leisure,-0.009194129152535105,-0.0001789557111158683,-0.00015314925065984276,-0.0022864883289034008,-0.0009756831470428181,-0.0006604223783798994,0.009763669694365805,0.014906412734045386,-0.010468673134220736,-0.011990642345373356,-0.025508176678935124,-0.01484835947386702,0.00419315528316532,-0.006039110648873701,0.009023139291983121,-0.0038906493000567294,-0.006045533914178197,0.015202692250269738,0.0007963826822977758,0.02701628123854831,0.017119959385125175,0.022542685540920867,0.0013733770771039947,0.01702179291951791,0.015692970220304844,-0.011770391256881799,0.0005730610347224745,0.018138272773027646,-0.0027911213106090516,-0.004781930240391809,-0.0053999103435088385,-0.0073608439773764365,-2.7442031923261095e-05,0.0017556289152860784,-0.027563700010055467,0.008954513765149217,-0.007896179385993391,0.016609297607684908,0.04004505946291613,0.013614159068052011,0.004964158926706818,0.0118976511356384,-0.008978948167988221,-0.0024588911614461576,-0.018064587529761526,-0.02015237677652564,-0.028111488820476163,-0.025999236130347853,-0.029549784166964955,-0.01801875550839581,-0.007050770200221304,0.006790635524303571,0.00575759954233661,0.0018809935959994614,0.018222241504972286,0.0011352607890919937,0.003513980494869955,-0.00914311626255084,-0.003438958578018497,-0.000857472997903569,-0.00870040841702479,-0.011978707905687952,-0.0033815207028623363,-0.01588944288207025
residence,-0.009037928343566539,-0.0031390910310659117,0.009313294516813234,0.016824178783888106,0.020803329007504007,0.02298005556999786,0.0005129598339184653,-0.023114568729253045,-5.4513237766509245e-05,-0.007446233645311871,0.027056305210106334,0.01313698031641746,0.002207759643061069,0.006439001847086482,-0.030325532161212875,-0.048556043987848914,0.0008993781495758459,-0.06491522967029548,-0.012211737271234686,-0.052861829329027096,-0.058305082944003904,-0.026284926146985448,0.006412852963250784,-0.021268422655631745,-0.002653883998824416,0.025742243371605474,-0.027072426006141213,-0.03342221487644737,0.011086343672252294,-0.004636943612421208,-0.011299751879453668,0.007777668375703126,-0.005255539030731801,-0.00865715753807931,0.015818604407704096,-0.00594601627088939,0.002752364891055878,-0.014093108201009522,-0.04314431937364619,-0.04248903791519994,0.014968214207018677,-0.002571094315272946,0.017521342942270385,0.0020695787562040368,0.042875655842732986,0.02026797058242918,0.05212385315832646,0.03594728621294923,0.059068940471855035,0.03485495868244816,0.006950935017383548,-0.014684422850785195,-0.00417577492226095,-0.015834915745367672,-0.01334269399862974,-0.000405794341997773,0.006965446317328387,0.03325623360178037,-0.008971144413770404,0.0029504308729639177,0.01836401597454125,0.03729182289603746,0.0025529178615119625,0.01021672090119026
