,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45
office,0.0045307595,0.004328729,-0.0029139724,0.00401046,0.0030677628,-0.0014437207,0.0043960446,0.014746603,-0.006830504,-0.01026872,-0.0076672244,0.011742531,0.005644958,0.001789485,0.005703492,0.004359466,-0.010727176,0.0021480736,-0.01102492,0.0065160315,0.0061928183,0.004874435,-0.0050928006,0.0027917195,-0.0011440851,-0.009179396,0.0038407038,0.0061248844,-0.0050438624,0.001090135,0.00548945,-0.0062453616,0.0004937466,0.004939592,-0.014021848,-0.0074340273,-0.007137499,-0.001734357,0.0046093706,-0.006452035,-0.00039316746,0.0076550627,0.0004047234,3.462316e-05,-0.0028057522,-0.0027781012,-0.0019011507,0.00043359248,-0.0034019966,0.0017719108,-0.0024867768,-0.0016444933,0.0020771127,-0.0010804312,1.2405945e-05,-0.0036745276,0.0007254488,-0.0022807259,-0.0042899456,-0.0025899091,-0.007994016,-0.0028457725,-0.0022488085,0.001985544
sustenance,0.007927746,0.0054572034,-0.003439287,0.0013745172,0.0022440252,0.0006785399,0.0079580275,0.019918265,0.0004747736,-0.008126734,-0.012458921,0.0028121416,-0.0044276584,0.0014819093,0.0053696735,0.004347439,-0.009139674,0.0021283359,-0.014263731,0.005651337,0.0077982075,0.008957523,-0.0002794443,0.0028709676,-0.0017350448,-0.005577774,0.0018737157,0.008638676,-0.008211838,-0.0013519096,0.001704416,-0.005699917,-0.00072561036,-0.0006192139,-0.014142726,-0.0026540668,-0.0051708333,-0.0013658196,0.00378942,-0.0071318885,0.005905595,0.0070849247,6.408643e-05,-0.002749289,-0.0021317038,-0.005602146,-0.009632343,-0.0058638803,-0.013387967,-0.00498462,-0.0029819617,0.0038543711,0.0069201943,0.0011916093,0.0055282675,-0.0005010971,-0.00020198284,-0.004735271,-0.006288611,-0.0033485603,-0.008418859,-0.0069820625,-0.0069056815,-0.005503395
transport,0.007531999,0.0059129,-0.0035520345,0.0027523343,0.0058837165,0.0037854922,0.0060299677,0.031373687,0.00038965853,-0.008236066,-0.015719255,-0.0005598084,-0.006311513,-0.0118003795,-0.0099121835,0.00011002999,-0.010783219,-0.0005215347,-0.017675458,0.008727771,0.009835981,0.01228589,-0.0003470852,0.0050165704,-0.00033895674,-0.0058072056,0.0012482747,0.01253839,-0.0062290975,-0.00077940733,0.0013792266,-0.006578004,0.001836623,-0.0015016871,-0.021738244,-0.0021301815,-0.010355731,-0.0050756773,0.005775209,-0.007947313,0.0077196253,0.010362478,-0.00028039425,-0.0025235082,-0.0053266506,-0.011613566,-0.010206992,-0.0074746674,-0.015369522,-0.0029752706,-0.003806913,0.0025920847,0.0135695515,-0.0019040768,0.006682095,-0.0010900986,-0.0017797232,-0.003963623,-0.008747018,-0.003785051,-0.010208696,-0.0070865094,-0.0030488092,-0.0064684404
retail,0.018844213,0.008127577,0.002582666,0.0041936585,-0.004251578,0.008841457,0.025785891,0.022817302,0.009716609,0.00011120823,-0.018055525,-0.015159643,-0.0057628243,-0.0010130228,-0.008773528,-0.0040499633,-0.002935992,0.0021915506,-0.017904844,0.004854062,0.007805506,0.0113769295,-0.0032256607,-0.000490988,-0.008954011,-0.018483654,-0.006167153,0.013556935,-0.009365938,-0.00844488,0.011994595,-0.02192496,0.0018297045,-0.0011824562,-0.0256914,-0.009620863,-0.0062843016,0.006481409,0.011473355,-0.0154121565,0.0153468335,0.019239672,0.0051436345,0.0028681501,-0.0045817206,-0.013412548,-0.02661005,-0.010123415,-0.023797633,-0.0068195025,0.002625359,0.013472613,0.015385406,0.006674834,0.0096147675,-0.00022746966,0.003254156,-0.010934942,-0.011031616,-0.0028014658,-0.017234141,0.0020326483,-0.00746268,-0.0058539943
leisure,-0.0067972066,-0.0021163877,0.00031352113,0.0028966218,0.009435934,0.0055443137,0.0038743087,0.0049312585,-0.008132494,-0.011380989,-0.016313998,-0.010241817,-0.002368271,-0.0080529265,0.003126002,-0.009455285,-0.003957191,-0.0014331127,-0.0030037598,0.013528643,0.0020025626,0.0072252103,-0.00035100803,0.008536227,0.012059386,-0.0017841747,-0.0015675108,0.0070037283,-0.0026163156,-0.0032894965,-0.0055,0.001728623,-0.00022570194,0.00010532089,-0.015863055,0.0055499095,-0.006140231,0.0004957875,0.014549667,0.0056452816,0.0017532686,0.0071201646,-0.003917483,-0.000812429,-0.0064476496,-0.0090484,-0.0074360543,-0.013515638,-0.011874361,-0.0065890504,-0.0032982132,0.002437029,-0.0027093661,-0.002579619,0.010170684,0.00075258553,0.0013139592,0.0018327874,-0.00025680338,0.0023098793,-0.0014191137,-0.004550994,0.00013964307,-0.0060775867
residence,0.0003689847,0.003837171,0.0027672383,0.012801405,0.0073937518,0.013832376,0.012986066,-0.00097387494,0.00077800814,-0.009576698,-0.0025383264,-0.005655764,-0.012578804,-0.0071902955,-0.026493458,-0.027603783,-0.008171588,-0.036374427,-0.024772534,-0.026509317,-0.027278816,-0.0029076543,0.003361308,-0.00728632,-0.0026458437,0.007844624,-0.013795173,-0.0038274117,0.0033714098,-0.0015323503,0.00017562234,-0.005539356,0.00175867,-0.009938072,-0.009011373,-0.0034519613,-0.00720043,-0.00752559,-0.015634602,-0.03350967,0.023692116,0.010382199,0.006881231,-0.00093460944,0.015568194,-0.0017889999,0.0029166958,0.0077607916,0.008948314,0.013146702,0.0026293288,0.00032163682,0.013354751,0.0023567774,0.0071771895,0.005025241,0.006955041,0.010601292,-0.007269309,-0.00027135955,-0.0028532227,0.014128431,-0.00600845,-0.004249244
