,MSE,RMSE,MAE,R2
office,0.007000000216066837,0.08100000023841858,0.05400000140070915,0.679
sustenance,0.004000000189989805,0.06599999964237213,0.04600000008940697,0.784
transport,0.006000000052154064,0.07999999821186066,0.05700000002980232,0.689
retail,0.007000000216066837,0.08299999684095383,0.05900000035762787,0.683
leisure,0.010999999940395355,0.10300000011920929,0.07199999690055847,0.623
residence,0.006000000052154064,0.07500000298023224,0.05700000002980232,0.662
