,MSE,RMSE,MAE,R2
office,0.007000000216066837,0.0860000029206276,0.05400000140070915,0.639
sustenance,0.004999999888241291,0.07100000232458115,0.04800000041723251,0.742
transport,0.007000000216066837,0.08399999886751175,0.05999999865889549,0.658
retail,0.00800000037997961,0.09200000017881393,0.06300000101327896,0.607
leisure,0.012000000104308128,0.1080000028014183,0.0729999989271164,0.587
residence,0.006000000052154064,0.07699999958276749,0.057999998331069946,0.646
