,MSE,RMSE,MAE,R2
office,0.014000000432133675,0.11900000274181366,0.07400000095367432,0.319
sustenance,0.009999999776482582,0.0989999994635582,0.06499999761581421,0.51
transport,0.012000000104308128,0.10899999737739563,0.07800000160932541,0.418
retail,0.013000000268220901,0.11500000208616257,0.07900000363588333,0.391
leisure,0.019999999552965164,0.1420000046491623,0.09300000220537186,0.276
residence,0.008999999612569809,0.09200000017881393,0.07000000029802322,0.491
