,MSE,RMSE,MAE,R2
office,0.01600000075995922,0.12700000405311584,0.08500000089406967,0.22
sustenance,0.012000000104308128,0.1080000028014183,0.07699999958276749,0.413
transport,0.013000000268220901,0.11599999666213989,0.08500000089406967,0.348
retail,0.014999999664723873,0.12300000339746475,0.09200000017881393,0.293
leisure,0.02199999988079071,0.15000000596046448,0.10100000351667404,0.202
residence,0.014000000432133675,0.11599999666213989,0.08799999952316284,0.189
