,MSE,RMSE,MAE,R2
office,0.012000000104308128,0.1080000028014183,0.07000000029802322,0.433
sustenance,0.008999999612569809,0.0949999988079071,0.06300000101327896,0.546
transport,0.012000000104308128,0.1080000028014183,0.07599999755620956,0.434
retail,0.012000000104308128,0.1080000028014183,0.07699999958276749,0.459
leisure,0.01600000075995922,0.12700000405311584,0.08699999749660492,0.419
residence,0.010999999940395355,0.10300000011920929,0.07800000160932541,0.365
