,MSE,RMSE,MAE,R2
office,0.014000000432133675,0.11800000071525574,0.07100000232458115,0.321
sustenance,0.010999999940395355,0.10300000011920929,0.06400000303983688,0.467
transport,0.012000000104308128,0.1120000034570694,0.07699999958276749,0.387
retail,0.014000000432133675,0.11999999731779099,0.07900000363588333,0.34
leisure,0.01899999938905239,0.1379999965429306,0.0949999988079071,0.321
residence,0.009999999776482582,0.10100000351667404,0.07699999958276749,0.388
