,MSE,RMSE,MAE,R2
office,0.014000000432133675,0.11599999666213989,0.07500000298023224,0.347
sustenance,0.008999999612569809,0.09399999678134918,0.05999999865889549,0.562
transport,0.010999999940395355,0.10599999874830246,0.07699999958276749,0.451
retail,0.013000000268220901,0.11299999803304672,0.0820000022649765,0.408
leisure,0.017999999225139618,0.13300000131130219,0.09399999678134918,0.369
residence,0.008999999612569809,0.0949999988079071,0.0729999989271164,0.465
