,MSE,RMSE,MAE,R2
office,0.014000000432133675,0.11999999731779099,0.07800000160932541,0.301
sustenance,0.010999999940395355,0.10599999874830246,0.07000000029802322,0.43
transport,0.014000000432133675,0.11699999868869781,0.08299999684095383,0.332
retail,0.014000000432133675,0.11699999868869781,0.08399999886751175,0.358
leisure,0.019999999552965164,0.14100000262260437,0.09700000286102295,0.288
residence,0.012000000104308128,0.10899999737739563,0.08399999886751175,0.288
