,MSE,RMSE,MAE,R2
office,0.007000000216066837,0.0860000029206276,0.052000001072883606,0.645
sustenance,0.004999999888241291,0.07000000029802322,0.04800000041723251,0.75
transport,0.007000000216066837,0.0860000029206276,0.06300000101327896,0.638
retail,0.00800000037997961,0.08900000154972076,0.06400000303983688,0.638
leisure,0.010999999940395355,0.10700000077486038,0.07400000095367432,0.588
residence,0.007000000216066837,0.08399999886751175,0.06499999761581421,0.577
