,MSE,RMSE,MAE,R2
office,0.004999999888241291,0.06700000166893005,0.0430000014603138,0.783
sustenance,0.003000000026077032,0.0560000017285347,0.03799999877810478,0.842
transport,0.004000000189989805,0.06700000166893005,0.04800000041723251,0.782
retail,0.004999999888241291,0.07400000095367432,0.052000001072883606,0.752
leisure,0.00800000037997961,0.08900000154972076,0.05999999865889549,0.72
residence,0.004000000189989805,0.06300000101327896,0.04600000008940697,0.765
