Loss,Val_Acc,Test_Acc
0.33750255043393407,0.28900964069750723,0.28651342235372845
0.2984318059805641,0.25918667106887827,0.25871879825334376
0.28498322175291013,0.24817208477556618,0.24890003302263694
0.26960803782381365,0.23852688859912802,0.2387753405639835
0.25999189638802944,0.2340102004577918,0.23147176306256678
0.25020487855497836,0.22275231840609983,0.22126649530036854
0.24283401156628182,0.2144274871572912,0.2112119183038629
0.23380777913186732,0.20693123082123827,0.2067436751966271
0.2230799423267186,0.20211367349978157,0.20038801244016333
0.21769188551331545,0.19975815767321772,0.20218778445726082
0.20887242415307694,0.19298254361672101,0.195824225004822
0.2014794720173137,0.18316924054693948,0.1870836649765984
0.1930250225138188,0.18384928161270997,0.1912505320626577
0.188034470716505,0.17620149919544434,0.1758512412920107
0.18465354836853562,0.17480537061529616,0.17764666433946724
0.17730535116063512,0.17170356478045148,0.17514690089030108
0.17949458414150957,0.17092799171636458,0.17826459729144004
0.17243032958831225,0.16718514475074175,0.17827259778891985
0.16978697519586486,0.16838552377528243,0.17957605865215676
0.1675603477255799,0.1642278658410709,0.17203890039474584
0.1598553471524451,0.1604291562004827,0.1681461235435123
0.156446086517755,0.1559013713722326,0.16820335768626427
0.16219394847540608,0.15486147023367683,0.16731411684020678
0.15372797904379823,0.16479392056544814,0.17081769820185963
0.1546423014083685,0.1561389506729384,0.1657361460659918
0.14754440072764388,0.1555540390128505,0.16513787294181262
0.14826935224533463,0.1509692946309074,0.16187984255614712
0.14316773492485416,0.14854904892922352,0.15375631157109804
0.142261982201673,0.14972472647292823,0.16448867257870312
0.14011933116848627,0.15141226448170864,0.15960942491546845
0.140125280495105,0.14782471662105562,0.1611185689201009
0.13762194799531316,0.14622737980004186,0.15915484979918176
0.1373253666164211,0.14367191896621992,0.16130278356649022
0.13456608137836282,0.14776125180305325,0.15651847172362773
0.13319459435212283,0.14302301338307793,0.1544821603595787
0.13438741693672143,0.14094970413835056,0.1552613205070578
0.12819914212948272,0.1368261732827977,0.153338340804888
0.12892371901623145,0.14062118603321558,0.15173943824844283
0.12794744769854316,0.13912489036459016,0.15096811340411267
0.12590409540595657,0.13737297627794862,0.15502491042796546
0.12541139988402678,0.1365713810998025,0.15405980094137986
